millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
3216,0.24,6.05,7.42,0.0189,0.0132,-0.0048,91967.00,809.99,0.00,0.0236
3276,0.23,6.08,7.47,0.0156,0.0141,-0.0069,91967.00,809.99,0.00,0.0221
3336,0.27,6.12,7.47,0.0181,0.0116,-0.0059,91967.00,809.99,0.00,0.0223
3396,0.24,6.08,7.49,0.0187,0.0116,-0.0089,91967.00,809.99,0.00,0.0237
3456,0.12,5.99,7.56,0.0195,0.0200,-0.0079,91967.17,809.97,-0.08,0.0290
3516,0.32,6.19,7.59,0.0177,0.0234,-0.0016,91967.17,809.97,-0.06,0.0294
3578,0.22,6.07,7.43,0.0148,0.0152,-0.0015,91967.17,809.97,-0.04,0.0212
3638,0.16,6.18,7.33,-0.0032,0.0039,-0.0083,91967.17,809.97,-0.03,0.0097
3695,0.14,5.73,7.27,0.0111,0.0048,-0.0073,91967.17,809.97,-0.02,0.0141
3755,0.30,6.12,7.30,0.0195,0.0181,-0.0100,91967.17,809.97,-0.01,0.0284
3812,0.32,6.05,7.43,0.0163,0.0100,-0.0071,91967.17,809.97,-0.01,0.0203
3872,0.25,6.13,7.41,0.0185,0.0139,-0.0071,91967.17,809.97,-0.01,0.0242
3929,0.32,5.97,7.34,0.0199,0.0189,-0.0041,91967.01,809.98,0.07,0.0277
3992,0.29,6.15,7.45,0.0192,0.0144,-0.0064,91967.01,809.98,0.05,0.0248
4051,0.23,5.96,7.43,0.0183,0.0143,-0.0071,91967.01,809.98,0.04,0.0242
4110,0.15,6.07,7.61,0.0184,0.0139,-0.0069,91967.01,809.98,0.02,0.0240
4169,0.25,6.00,7.52,0.0201,0.0101,-0.0075,91967.01,809.98,0.02,0.0237
4227,0.31,6.11,7.52,0.0179,0.0121,-0.0053,91967.01,809.98,0.01,0.0222
4286,0.26,5.97,7.42,0.0132,0.0103,-0.0044,91967.01,809.98,0.01,0.0173
4344,0.25,6.08,7.46,0.0167,0.0112,-0.0077,91967.01,809.98,0.01,0.0215
4403,0.28,6.06,7.43,0.0163,0.0093,-0.0081,91967.01,809.98,0.00,0.0204
4464,0.23,6.06,7.44,0.0156,0.0148,-0.0040,91967.18,809.97,-0.07,0.0219
4524,0.22,6.01,7.44,0.0181,0.0121,-0.0057,91967.18,809.97,-0.05,0.0225
4581,0.26,6.06,7.45,0.0193,0.0109,-0.0081,91967.18,809.97,-0.04,0.0236
4641,0.28,6.10,7.41,0.0153,0.0085,-0.0077,91967.18,809.97,-0.03,0.0192
4698,0.23,6.04,7.47,0.0165,0.0117,-0.0053,91967.18,809.97,-0.02,0.0209
4758,0.22,6.03,7.48,0.0147,0.0123,-0.0039,91967.18,809.97,-0.01,0.0195
4815,0.26,6.13,7.49,0.0141,0.0151,-0.0033,91967.18,809.97,-0.01,0.0209
4878,0.23,6.01,7.44,0.0144,0.0111,-0.0053,91967.18,809.97,-0.01,0.0189
4937,0.17,5.94,7.40,0.0175,0.0071,-0.0085,91967.18,809.95,-0.08,0.0207
4995,0.19,6.05,7.41,0.0157,0.0104,-0.0048,91967.34,809.95,-0.06,0.0194
5054,0.24,6.04,7.47,0.0148,0.0071,-0.0087,91967.34,809.95,-0.04,0.0185
5113,0.25,6.03,7.40,0.0217,0.0105,-0.0041,91967.34,809.95,-0.03,0.0245
