r_mm,corda_mm
1.00,1.2641
2.60,3.2159
4.19,5.0882
5.79,6.8822
7.38,8.5991
8.98,10.2402
10.58,11.8066
12.17,13.2995
13.77,14.7203
15.36,16.0701
16.96,17.3501
18.56,18.5616
20.15,19.7058
21.75,20.7838
23.34,21.7970
24.94,22.7464
26.54,23.6335
28.13,24.4593
29.73,25.2251
31.32,25.9321
32.92,26.5815
34.52,27.1746
36.11,27.7125
37.71,28.1965
39.30,28.6279
40.90,29.0077
42.49,29.3373
44.09,29.6179
45.69,29.8506
47.28,30.0368
48.88,30.1776
50.47,30.2742
52.07,30.3279
53.67,30.3399
55.26,30.3113
56.86,30.2435
58.45,30.1376
60.05,29.9949
61.65,29.8166
63.24,29.6039
64.84,29.3580
66.43,29.0801
68.03,28.7715
69.63,28.4333
71.22,28.0669
72.82,27.6733
74.41,27.2540
76.01,26.8099
77.61,26.3425
79.20,25.8528
80.80,25.3421
82.39,24.8117
83.99,24.2627
85.59,23.6964
87.18,23.1140
88.78,22.5167
90.37,21.9058
91.97,21.2823
93.57,20.6477
95.16,20.0030
96.76,19.3496
98.35,18.6886
99.95,18.0212
101.55,17.3487
103.14,16.6723
104.74,15.9932
106.33,15.3126
107.93,14.6318
109.53,13.9519
111.12,13.2742
112.72,12.5999
114.31,11.9302
115.91,11.2664
117.51,10.6097
119.10,9.9612
120.70,9.3222
122.29,8.6939
123.89,8.0776
125.48,7.4745
127.08,6.8857
128.68,6.3125
130.27,5.7562
131.87,5.2179
133.46,4.6988
135.06,4.2002
136.66,3.7233
138.25,3.2693
139.85,2.8395
141.44,2.4350
143.04,2.0571
144.64,1.7070
146.23,1.3859
147.83,1.0950
149.42,0.8356
151.02,0.6089
152.62,0.4160
154.21,0.2583
155.81,0.1369
157.40,0.0530
159.00,0.0079
