millis,t_s,theta_deg,theta_dot_rads,phi_dot_rads,spin_rpm,v0_ms,altitude_m
0,0.0000,0.0000,0.000000,0.000000,0.000,0.0000,20.0000
0,0.0001,0.0000,0.000000,0.000000,0.000,-0.0010,20.0000
1,0.0011,0.0000,0.000000,0.000000,0.000,-0.0110,20.0000
11,0.0113,0.0000,0.000133,0.000058,0.001,-0.1110,19.9994
104,0.1043,0.1534,0.102192,0.044004,0.420,-1.0195,19.9468
242,0.2418,4.2398,1.190235,0.498777,4.763,-2.3324,19.7158
392,0.3918,26.3246,4.194757,2.026808,19.355,-3.7028,19.2624
478,0.4783,51.1391,5.529601,5.308271,50.690,-4.4970,18.9080
525,0.5254,65.4141,4.669390,12.323619,117.682,-4.9447,18.6858
558,0.5585,71.9190,1.704814,21.830521,208.466,-5.2640,18.5167
586,0.5860,71.6017,-2.021492,20.815567,198.774,-5.5287,18.3684
611,0.6112,67.0127,-3.995663,13.583260,129.711,-5.7696,18.2256
652,0.6520,56.8324,-4.304851,7.497364,71.595,-6.1450,17.9825
697,0.6970,47.5104,-2.707068,5.989112,57.192,-6.5312,17.6972
770,0.7698,44.2082,1.090906,7.652490,73.076,-7.1111,17.2009
824,0.8240,50.4523,2.518323,11.389535,108.762,-7.5478,16.8038
873,0.8726,56.1148,1.062412,15.903926,151.871,-7.9570,16.4271
911,0.9107,55.8797,-1.245719,16.418243,156.783,-8.2783,16.1176
945,0.9454,52.0652,-2.324042,14.557438,139.013,-8.5565,15.8253
990,0.9900,46.6451,-1.600692,13.287623,126.887,-8.8817,15.4359
1033,1.0331,44.6199,-0.056669,14.225413,135.843,-9.1685,15.0470
1069,1.0690,45.3774,0.626823,16.144321,154.167,-9.4012,14.7139
1105,1.1049,46.4103,0.195891,18.177366,173.581,-9.6334,14.3725
1143,1.1428,45.6157,-0.933279,19.134884,182.725,-9.8710,14.0023
1178,1.1782,43.0285,-1.466809,19.041245,181.830,-10.0722,13.6497
1218,1.2180,40.0104,-1.042970,19.280497,184.115,-10.2690,13.2449
1255,1.2548,38.5281,-0.404362,20.366855,194.489,-10.4293,12.8641
1292,1.2915,37.9168,-0.295089,21.868917,208.833,-10.5768,12.4777
1326,1.3255,36.9963,-0.694935,22.992545,219.563,-10.7010,12.1162
1365,1.3652,34.8901,-1.080586,23.748602,226.782,-10.8235,11.6895
1403,1.4031,32.6205,-0.928640,24.451905,233.498,-10.9141,11.2768
1442,1.4419,30.9580,-0.588113,25.542088,243.909,-10.9845,10.8522
1481,1.4807,29.7722,-0.544616,26.790805,255.833,-11.0382,10.4252
1519,1.5193,28.3654,-0.732596,27.827703,265.735,-11.0752,9.9985
1563,1.5625,26.4575,-0.746495,28.770358,274.737,-11.0948,9.5191
1603,1.6033,24.9481,-0.535113,29.734517,283.944,-11.0951,9.0661
1641,1.6414,23.9282,-0.432995,30.699814,293.162,-11.0843,8.6441
1679,1.6794,22.9454,-0.480387,31.560911,301.384,-11.0646,8.2227
1719,1.7195,21.8096,-0.484876,32.313079,308.567,-11.0343,7.7799
1760,1.7596,20.8195,-0.366869,33.021139,315.329,-10.9962,7.3385
1798,1.7977,20.1273,-0.282596,33.687292,321.690,-10.9553,6.9195
1836,1.8359,19.5137,-0.288219,34.274110,327.294,-10.9115,6.5022
1876,1.8765,18.8335,-0.284981,34.780632,332.131,-10.8619,6.0604
1917,1.9171,18.2440,-0.215894,35.224978,336.374,-10.8103,5.6207
1955,1.9553,17.8349,-0.166668,35.611885,340.068,-10.7613,5.2081
1994,1.9936,17.4749,-0.166916,35.937119,343.174,-10.7125,4.7974
2034,2.0337,17.0908,-0.160294,36.202581,345.709,-10.6617,4.3681
2074,2.0739,16.7651,-0.120133,36.423516,347.819,-10.6117,3.9409
2112,2.1122,16.5360,-0.093917,36.606725,349.568,-10.5655,3.5352
2151,2.1505,16.3322,-0.093978,36.749045,350.928,-10.5209,3.1311
2190,2.1898,16.1236,-0.087797,36.851511,351.906,-10.4768,2.7188
2229,2.2291,15.9506,-0.064966,36.928695,352.643,-10.4345,2.3082
2268,2.2677,15.8258,-0.050828,36.987288,353.203,-10.3950,1.9057
2306,2.3064,15.7145,-0.050740,37.021969,353.534,-10.3574,1.5047
2346,2.3460,15.6025,-0.045941,37.033926,353.648,-10.3210,1.0956
2386,2.3855,15.5130,-0.032675,37.032940,353.639,-10.2865,0.6878
2424,2.4242,15.4507,-0.025425,37.023052,353.544,-10.2549,0.2909
2453,2.4526,15.4097,-0.025272,37.008093,353.401,-10.2329,-0.0000
