millis,temperatura_C,pressao_Pa,altura_m
1539,26.90,92492.14,762.80
2042,26.90,92491.66,762.85
2544,26.90,92491.66,762.85
3052,26.90,92491.66,762.85
3554,26.90,92491.48,762.86
4057,26.90,92491.31,762.88
4559,26.90,92491.45,762.87
5067,26.90,92491.45,762.87
5569,26.90,92491.45,762.87
6072,26.90,92491.28,762.88
6574,26.90,92490.94,762.91
7082,26.90,92490.94,762.91
7583,26.90,92490.77,762.93
8086,26.91,92491.28,762.88
8587,26.91,92491.11,762.90
9095,26.91,92490.94,762.91
9596,26.91,92490.94,762.91
10104,26.91,92490.94,762.91
10604,26.91,92490.77,762.93
11104,26.91,92490.60,762.94
11604,26.91,92490.59,762.94
12109,26.91,92490.59,762.94
12609,26.91,92490.59,762.94
13109,26.91,92490.42,762.96
13609,26.91,92490.42,762.96
14114,26.91,92490.25,762.97
14614,26.91,92490.40,762.96
15114,26.91,92490.40,762.96
15614,26.91,92490.23,762.97
