millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
3283,0.24,6.03,7.45,0.0152,0.0140,-0.0051,91965.64,810.11,0.00,0.0213
3343,0.23,6.15,7.49,0.0175,0.0148,-0.0049,91965.64,810.11,0.00,0.0234
3400,0.27,6.10,7.42,0.0147,0.0133,-0.0071,91965.64,810.11,0.00,0.0210
3460,0.22,6.02,7.45,0.0201,0.0095,-0.0061,91965.82,810.09,-0.08,0.0231
3517,0.20,6.00,7.47,0.0168,0.0132,-0.0041,91965.82,810.09,-0.06,0.0217
3577,0.28,6.00,7.44,0.0172,0.0099,-0.0047,91965.82,810.09,-0.04,0.0204
3639,0.24,6.05,7.43,0.0177,0.0144,-0.0057,91965.82,810.09,-0.03,0.0235
3698,0.26,6.02,7.50,0.0168,0.0101,-0.0064,91965.82,810.09,-0.02,0.0206
3757,0.25,6.07,7.44,0.0167,0.0113,-0.0069,91965.82,810.09,-0.01,0.0213
3816,0.27,6.10,7.48,0.0172,0.0072,-0.0063,91965.82,810.09,-0.01,0.0197
3875,0.23,6.06,7.47,0.0167,0.0131,-0.0039,91965.82,810.09,-0.01,0.0215
3934,0.24,6.05,7.48,0.0181,0.0143,-0.0059,91966.33,810.05,-0.24,0.0238
3993,0.24,6.05,7.45,0.0171,0.0125,-0.0059,91966.33,810.05,-0.17,0.0220
4055,0.31,6.11,7.38,0.0187,0.0188,-0.0043,91966.33,810.05,-0.12,0.0268
4115,0.22,6.01,7.45,0.0165,0.0096,-0.0075,91966.33,810.05,-0.08,0.0205
4172,0.20,6.12,7.46,0.0145,0.0081,-0.0056,91966.33,810.05,-0.06,0.0176
4232,0.26,6.09,7.45,0.0161,0.0127,-0.0048,91966.33,810.05,-0.04,0.0210
4289,0.22,6.06,7.46,0.0168,0.0123,-0.0044,91966.33,810.05,-0.03,0.0212
4349,0.22,5.99,7.42,0.0168,0.0137,-0.0040,91966.33,810.05,-0.02,0.0220
4406,0.25,6.00,7.42,0.0163,0.0120,-0.0080,91966.33,810.05,-0.01,0.0217
4466,0.26,6.15,7.42,0.0177,0.0120,-0.0051,91966.84,810.00,-0.24,0.0220
4522,0.24,6.03,7.43,0.0177,0.0137,-0.0056,91966.84,810.00,-0.17,0.0231
4582,0.22,6.00,7.46,0.0196,0.0113,-0.0055,91966.84,810.00,-0.12,0.0233
4639,0.25,6.05,7.45,0.0216,0.0127,-0.0073,91966.84,810.00,-0.08,0.0261
4699,0.25,6.06,7.44,0.0216,0.0145,-0.0053,91966.84,810.00,-0.06,0.0266
4756,0.22,6.01,7.43,0.0149,0.0101,-0.0067,91966.84,810.00,-0.04,0.0192
4816,0.21,6.02,7.50,0.0211,0.0089,-0.0056,91966.84,810.00,-0.03,0.0235
4873,0.26,6.04,7.44,0.0173,0.0131,-0.0055,91966.84,810.00,-0.02,0.0224
4936,0.27,6.10,7.46,0.0180,0.0111,-0.0060,91966.84,809.95,-0.23,0.0219
4995,0.22,6.04,7.45,0.0167,0.0113,-0.0067,91967.02,809.98,-0.01,0.0212
5054,0.24,6.04,7.46,0.0193,0.0092,-0.0053,91967.02,809.98,-0.01,0.0220
5113,0.31,6.13,7.48,0.0153,0.0063,-0.0071,91967.02,809.98,-0.00,0.0180
