millis,t_s,theta_deg,theta_dot_rads,phi_dot_rads,spin_rpm,v0_ms,altitude_m
0,0.0000,0.0000,0.000000,0.000000,0.000,0.0000,1000.0000
0,0.0001,0.0000,0.000000,0.000000,0.000,-0.0010,1000.0000
1,0.0011,0.0000,0.000000,0.000000,0.000,-0.0110,1000.0000
11,0.0113,0.0000,0.000085,0.000037,0.000,-0.1110,999.9994
113,0.1133,0.1370,0.084242,0.036364,0.347,-1.1086,999.9372
284,0.2836,5.2309,1.262997,0.538362,5.141,-2.7464,999.6080
445,0.4450,29.3334,4.161651,2.205565,21.062,-4.2454,999.0432
550,0.5499,58.5851,4.995088,7.848479,74.947,-5.2254,998.5467
571,0.5709,64.2874,4.402740,11.364681,108.525,-5.4257,998.4350
592,0.5919,68.8910,3.113118,16.337223,156.009,-5.6272,998.3190
632,0.6315,71.2191,-1.239524,19.492827,186.143,-6.0085,998.0886
669,0.6694,65.1948,-3.756162,11.130775,106.291,-6.3705,997.8540
705,0.7048,57.0067,-4.094445,6.961109,66.474,-6.7010,997.6225
760,0.7597,45.7633,-2.782410,5.250512,50.139,-7.1898,997.2410
842,0.8421,41.0003,0.834179,6.830765,65.229,-7.8769,996.6202
902,0.9018,47.2246,2.432861,10.318144,98.531,-8.3708,996.1351
953,0.9529,53.3325,1.260571,14.565209,139.087,-8.8055,995.6968
995,0.9948,53.4842,-1.168252,15.443507,147.475,-9.1640,995.3204
1034,1.0338,49.0086,-2.560158,13.637727,130.231,-9.4860,994.9567
1080,1.0799,42.4111,-2.097235,12.347916,117.914,-9.8394,994.5104
1131,1.1305,38.8614,-0.303221,13.295910,126.967,-10.1953,994.0033
1169,1.1688,39.3770,0.615211,15.236593,145.499,-10.4548,993.6078
1207,1.2072,40.6578,0.328212,17.476386,166.887,-10.7130,993.2023
1250,1.2496,39.8341,-1.074828,18.817716,179.696,-10.9929,992.7414
1290,1.2903,36.1021,-1.924510,18.834581,179.857,-11.2408,992.2894
1332,1.3321,31.8010,-1.467702,19.197589,183.323,-11.4669,991.8141
1374,1.3737,29.4974,-0.490366,20.632911,197.030,-11.6682,991.3327
1408,1.4075,28.9686,-0.175428,22.301492,212.964,-11.8216,990.9359
1441,1.4413,28.3449,-0.569038,23.861997,227.865,-11.9679,990.5339
1483,1.4833,25.9974,-1.325328,25.126015,239.936,-12.1338,990.0281
1523,1.5233,22.8125,-1.291504,26.106052,249.294,-12.2695,989.5400
1566,1.5657,20.5194,-0.560182,27.667534,264.205,-12.3930,989.0166
1598,1.5977,19.8696,-0.229162,29.161105,278.468,-12.4775,988.6195
1630,1.6296,19.3573,-0.408554,30.610087,292.305,-12.5566,988.2197
1670,1.6699,17.8331,-0.871483,32.038397,305.944,-12.6462,987.7115
1707,1.7071,15.9713,-0.758612,33.183597,316.880,-12.7168,987.2393
1744,1.7441,14.9034,-0.244912,34.525091,329.690,-12.7781,986.7678
1770,1.7701,14.7071,-0.069641,35.566224,339.632,-12.8182,986.4351
1796,1.7961,14.5373,-0.203490,36.547219,349.000,-12.8562,986.1013
1829,1.8289,13.8392,-0.522156,37.555354,358.627,-12.8999,985.6791
1861,1.8611,12.8207,-0.505137,38.392213,366.619,-12.9374,985.2637
1892,1.8921,12.2012,-0.173591,39.255602,374.863,-12.9697,984.8622
1915,1.9154,12.1093,0.005535,39.963035,381.619,-12.9926,984.5588
1936,1.9359,12.1188,-0.019227,40.569011,387.406,-13.0119,984.2923
1955,1.9546,12.0282,-0.162267,41.061364,392.107,-13.0286,984.0499
1981,1.9815,11.6053,-0.360932,41.651360,397.741,-13.0509,983.6985
2009,2.0092,11.0302,-0.314535,42.183682,402.824,-13.0713,983.3371
2038,2.0385,10.7089,-0.060627,42.785846,408.575,-13.0910,982.9536
2057,2.0574,10.7099,0.043667,43.201487,412.544,-13.1032,982.7053
2076,2.0764,10.7563,0.020113,43.604745,416.395,-13.1150,982.4569
2098,2.0983,10.6980,-0.124163,44.011814,420.282,-13.1280,982.1699
2125,2.1245,10.3886,-0.259603,44.406207,424.048,-13.1421,981.8246
2150,2.1502,10.0333,-0.190623,44.752929,427.359,-13.1545,981.4878
2179,2.1794,9.8848,0.009138,45.184677,431.482,-13.1676,981.1025
2198,2.1980,9.9302,0.058811,45.472840,434.234,-13.1757,980.8578
2217,2.2166,9.9727,0.005901,45.743100,436.814,-13.1835,980.6130
2243,2.2431,9.8665,-0.143949,46.059697,439.838,-13.1938,980.2634
2269,2.2686,9.6076,-0.179893,46.304096,442.172,-13.2028,979.9262
2293,2.2931,9.4222,-0.069004,46.538758,444.412,-13.2106,979.6030
2314,2.3140,9.4071,0.034609,46.760270,446.528,-13.2169,979.3272
2334,2.3344,9.4669,0.049887,46.980606,448.632,-13.2230,979.0571
2355,2.3547,9.4878,-0.024232,47.175057,450.489,-13.2288,978.7891
2379,2.3786,9.3800,-0.123297,47.356343,452.220,-13.2351,978.4723
2402,2.4022,9.2020,-0.119581,47.505609,453.645,-13.2407,978.1607
2427,2.4266,9.0993,-0.019974,47.670489,455.220,-13.2461,977.8371
2446,2.4461,9.1179,0.043925,47.817494,456.623,-13.2503,977.5781
